laptop_nbr,item_id,name,brand,price,rating,review
143,510325429,Lenovo LOQ 15IRX10 Gaming Core i5 13450HX 13th Gen| 16GB RAM |512GB SSD|15.6″ FHD144Hz |RTX 5050 8GB| Backlit Keyboard |Win11 |1 Years Warranty,No Brand,144990,,
144,510033084,Acer Nitro V 16 | Intel Core I5-14450HX Processor | 16 GB RAM | 512 GB SSD Storage | 16 Inch (1920X1200) 165HZ Display | NVIDIA GeForce RTX 4050 6GB Graphics | Backlit Keyboard,Acer,135000,,
145,168137082,"MSI Cyborg 15 A13UC Gaming Laptop (13th Gen Intel Core i5 | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 3050 4GB)",,119000,,
146,508263870,Asus A410 | 4GB RAM | 256 GB SSD Portable Black Laptop,No Brand,65000,,
147,511947191,Dell Inspiron 3530 Core i5-1334U| 8GB RAM | 512 GB SSD | 15.6 ” FHD | Backlit Keyboard | Finger Print Reader | Win 11 | 1 Years Warranty,No Brand,82990,,
148,159777257,ASUS TUF Gaming A15 Gaming- Ryzen 7 7435HS | 8 GB DDR5 RAM | 512 SSD | RTX 2050 4 GB | Win11 | 2 Year Warranty,No Brand,112850,,
149,499707005,"Acer NITRO V 16 ANV16-42-R309 GAMING AMD Ryzen™ 5 240 512GB SSD 16GB 16"" (1920x1200) 180Hz WIN11 NVIDIA® RTX 5050 8192MB Backlit Keyboard Laptop",No Brand,149990,,
150,479759808,"Lenovo Legion Pro 7i Gaming Laptop 2025 - Intel Core Ultra 9 275HX | RTX 5080 | Windows 11 | 32GB RAM | 1TB SSD | 16"" WQXGA OLED 240Hz display | Eclipse Black | 2 Year warranty - Nagmani International",Lenovo,552900,,
151,108625403,"Dell 3501 i5 11th Gen/ 8GB/ 256ssd/ 15.6"" Laptop W10 Full HD Display Fast selling laptops",No Brand,81999,,
152,511978041,Dell Inspiron 3530 Core i5-1334U| 16GB RAM | 512 GB SSD | 15.6 ” FHD | Backlit Keyboard | Finger Print Reader | Win 11 | 1 Years Warranty,No Brand,89990,,
153,128618774,"ASUS Vivobook 14X (K3405) - 13th Gen Intel i9 13900H, 16GB RAM, 1TB NVMe SSD, 14.0-inch, WUXGA, Windows 11, Bagpack, Mouse, 2 Years Int'l Warranty  - Nagmani International",ASUS,157900,,
154,509041221,Asus Vivobook 14 X1404ZA-EB718W - i5 - 1235U | 8GB | 512SSD | 2 Year Warranty  Intel UHD Graphics | FHD,No Brand,92000,,
155,150138672,"ASUS VivoBook 14 (2024) X1404VA | 14th Gen Intel Core 5 120U Processor | 8GB RAM | 512 GB G4 SSD | 14"" FHD | Win11 | Backlit Keyboard | Fingerprint | Backpack - NAGMANI INTERNATIONAL",ASUS,96900,,
156,511964568,Lenovo V14 Core i7-13650H 13th Gen| 16GB RAM | 512GB SSD| 14 ” FHD | Win 11| 1 Year Warranty,No Brand,108990,,
157,128597119,"ASUS Vivobook PRO 14 M3401QC - R7 5800H | 16GB RAM | 1TB SSD | 14"" 2.8K WQXGA 90Hz OLED Display | RTX 3050 4GB Graphics | Backlit | Fingerprint | Bag | Windows 11 | 2 Year Int'l Warranty | 1 Year Perfect Warranty",ASUS,182900,,
158,511954877,HP 15-FD0183 Core i7-1355U| 16GB RAM | 1 TB SSD | 15.6 ” FHD | Backlit keyboard | Win 11 | 1 Years Warranty,No Brand,108990,,
159,511941038,"HP Omen 16-AP0167AX Ryzen 9 8940HX 16GB DDR5 512GB 16"" 2K 144 Hz RTX5060 8GB Backlite Keyboary 1 Year",,207000,,
160,505757317,Lenovo LOQ 15ARP9 AMD Ryzen 5 7235HS – Nvidia RTX 4050 6GB – 24GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Backlit keyboard – Luna Grey,No Brand,149550,,
161,510219131,Lenovo LOQ 15ARP9 | Gaming Laptop | Ryzen 5-7235HS | 12 GB RAM | 512 GB SSD | 15.6″ FHD Display | RTX 3050-6 GB | Backlit Keyboard | 1 Year Warranty,Lenovo,120000,,
162,511935581,"DELL VOSTRO 3440 I5 13TH GEN 16GB RAM 512GB SSD 14"" DISPLAY BKLIT KB 1 YEAR WARRENTY",Dell,91000,,
163,128108942,Dua Screen Pos i5 8GB RAM 256SSD,No Brand,85000,,
164,511349978,HP Pavilion 16 Ryzen 7 8840HS 8GB RAM 512GB SSD 16 Inch Laptop,,94050,,
165,511977048,Asus Zenbook Core Ultra 7-265H | 16GB RAM | 512GB SSD | 14 ” OLED TouchScreen | Backlit Keyboard |Win 11 | 1 Years Warranty,No Brand,152990,,
166,511449028,Acer Nitro V15 Core i5 -13420H 13th Gen | 16GB RAM| 512 GB SSD |15.6″ FHD 165 Hrz | RTX 5050 8GB GFX | Backlit Keyboard | Win 11 Home | 1 Years Warranty,No Brand,131990,,
167,506697662,"Lenovo AMD RYZEN 5 7235HS 3.2GHz RAM 12GB Storage 512GB SSD GPU RTX4050 Display 15.6"" FHD  Windows 11 Home",Lenovo,118000,,
168,499233974,ASUS Zenbook 14 OLED (UX3405CA-U7512) Intel® Core™ Ultra 7-255H 15th Gen (Series 2) | 16GB RAM LPDDR5X | 512GB SSD |14″ WUXGA OLED Touch Screen |Backlit Keyboard/Windows 11 Home  Laptop,No Brand,159990,,
169,510033064,Acer Nitro V 15 (Intel Core i5 13420H Processor | 16GB DDR5 RAM | 512GB SSD | NVIDIA RTX 3050 6GB Graphics Card | 15.6-inch FHD (1920 x 1080) 165Hz IPS Display | 1 Year Warranty),Acer,119000,,
170,511950203,Lenovo Ideapad 5 16IRU9 Core 5 120U | 16 GB RAM | 512GB SSD | 16 ” FHD Touch Screen | Backlit Keyboard | Finger Print Reader | Win 11 | 1 Years Warranty,No Brand,106990,,
171,512540788,"2025's HP Victus 15 Gaming Laptop (AMD Ryzen 5 8645HS Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics Card | 15.6"" FHD (1920 x 1080) 144Hz IPS Display | Backlit Keyboard | Wi-Fi 6 & BT 5.3 | 1 Year Warranty)",No Brand,115000,,
172,505727102,"Lenovo LOQ 15ARP9 Gaming Laptop | AMD Ryzen 5 7235HS | 12GB RAM | 512GB SSD | 15.6"" FHD 144Hz IPS | NVIDIA RTX 4050  6GB | Windows 11 | Luna Grey | Backlit Keyboard",Lenovo,123750,,
173,481828404,"MSI Claw-A1M Handheld (Intel Core Ultra 5-135H | 16GB RAM | 512GB SSD | 7"" FHD 120Hz Touch Screen | 100% sRGB | Micro Keys & Triggers)",,118000,,
174,499258394,"Lenovo All-in-One ThinkCentre Neo 50a 24 Gen 5 – 13th Gen Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, WiFi + Bluetooth, 5.0 MP Camera, 24’’ Display, Wireless Keyboard & Mouse, Free Dos, Wireless Mobile Charger(Inbuilt in the Base) - Nagmani International",Lenovo,118900,,
175,511168178,Acer Nitro V15 Core 7 240H 15th Gen | 16GB RAM | 512 GB SSD | RTX4050 6GB |15.6 ” FHD IPS 165Hz| Backlit Keyboard | Win 11 | 1 Years Warranty,No Brand,154990,,
176,363484054,"Lenovo V14 G5 - 15th Gen Core 5 210H, 14"" FHD, 16GB DDR5 RAM, 512GB NVMe SSD, Fingerprint, Iron Grey, Free Dos, 1 Year Warranty - Nagmani International",Lenovo,121900,,
177,160051227,"Acer Aspire 14 Intel Core 5-120U | 8 GB DDR5 RAM | 512 GB SSD | 14"" (1920X1200) IPS | Win 11 | 2 Year Warranty",No Brand,94050,,
178,510033073,Acer Nitro V 16 2025 (AMD Ryzen 7 8845HS Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics Card | 16-inch WUXGA (1920 x 1200) IPS 165Hz Display | Amber Backlit Keyboard | 1 Year Warranty),Acer,146500,,
179,477926567,"Lenovo V14 G5 - 13th Gen, Intel i7 13620H, 14"" FHD, 16GB DDR5 RAM, 512GB NVMe SSD, Iron Grey Color, 1 Year Warranty - Nagmani International Pvt. Ltd.",Lenovo,123900,,
180,501840349,"Dell Pro 14"" PC14250 | Core 5 120U | 8GB | 512GB SSD | FHD+ | Backlit keyboard",No Brand,101999,,
181,412043429,"ASUS ROG Strix Scar 16 G635LW | Intel Core Ultra 9 275 HX | 32GB RAM | 2TB NVMe SSD | 16.0"" WQXGA 240Hz | NVIDIA RTX 5080 - 16GB | Win 11| Numpad | BAG | Mouse | Headset | Off Black | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,633900,,
182,419824302,"Dell Latitude 3450 14"" | 13th Gen i5-1335U | 8GB DDR5 | 512GB SSD | Backlit Keyboard | 3 Years Warranty",No Brand,105800,,
183,474824440,"Asus VivoBook 16 X1607CA - Intel Core Ultra 5 Processor 225H | 16 GB | 512 SSD | 16.0-inch, WUXGA | Win11 | Backlit Keyboard | Quiet Blue | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,126900,,
184,127092200,GREAT ASIA TK-E181 I7CORE 11th Gen 8GB RAM 512GB SSD 64BIT OPERATING SYSTEM 15.6INC SCREEN,No Brand,85499,5.0,1
185,511616107,HP OmniBook 5 AMD Ryzen Al-7-350 | 16GB RAM | 512GB SSD| 16″ FHD WUXGA | Backlit Keyboard | Win11| 1 Years Warranty,No Brand,128990,,
186,511450017,HP Victus 15 AMD Ryzen 5 8645 HS | 16 GB RAM | 512 GB SSD | 15.6″ FHD 144Hz | RTX 3050 6GB | Backlit Keyboard | Win 11 | 1 Years Warranty,No Brand,118990,,
187,511451005,Asus ZenBook AMD Ryzen 7 8840HS|16GB RAM | 512GB SSD| 14″ OLED Touch Screen| Win11 | 1 Years Warranty,No Brand,152990,,
188,480483880,"Acer Nitro V16 Ryzen 7 8845HS | 16GB DDR5 | 512GB SSD | 16"" WUXGA 165Hz | RTX 3050 6GB Graphics",No Brand,138000,,
189,511979015,HP 15-FD1899 Core 7 150U 14th Gen | 16GB RAM | 512GB SSD | 15.6 ” FHD | Win 11 | 1 Years Warranty,No Brand,114990,,
190,479753626,"Lenovo LOQ Gaming Laptop 2025 - (15.6"" FHD 144Hz Display | Intel i5-12450HX | 8 GB RAM | 512GB SSD | RTX 2050 4GB | Windows 11 | Backlit KB | 2 Year Warranty) - Nagmani International Pvt.Ltd",Lenovo,120900,,
191,511448072,HP OmniBook 5 Flip 14 Core 7 150U | 16GB RAM | 512GB SSD | 14″ FHD+ x360 Touch Display) | Backlight Keyboard | Win 11 Home | 1 Years Warranty,No Brand,130990,,
192,501276027,"Acer Nitro V 16 AI Ryzen 7 260 16"" WUXGA180Hz 100% IPS Display 16GB RAM 512GB SSD RTX 5050 8GB RGB",No Brand,172490,,
193,279521517,"Lenovo Thinkpad T14 Gen 5 - Ultra 5 125h, 14'' Multi Touch WUXGA (1920x1200), 16GB DDR5 RAM, 512 Gen4 NVMe SSD, 5.0 MP Camera with Face recognition Backlit KB, Windows 11 Professional, 3 Years Warranty - NAGMANI INTERNATIONAL",Lenovo,241900,,
194,103147230,HP Pavilion 15 Radeon 530 Series  i7 8th Gen 8GB RAM 1TB 2GB AMD Graphic,Generic,100000,,
195,511940122,"HP VICTUS 15 I5 13TH GEN 16GB DDR4 512GB SSD 15.6"" FHD 144HZ RTX4050 6GB BACKLIT KEYBOARD WIN 11 HOME 1 YEAR WARRANTY",,109900,,
196,493083717,ASUS Vivobook 16X K3605VC - 13th Gen Intel i5 13420H | 16GB RAM | 512 GB NVMe SSD | RTX 3050 GPU  | 16.0-inch | WUXGA (1920 x 1200) | Windows 11 | Backpack | Mouse | Indie Black | 2 Years Int'l Warranty | 1 year Perfect Warranty - Nagmani International,ASUS,136900,,
197,474828520,"ASUS Vivobook S14 - S3407CA | 14.0-inch, WUXGA | 15th Gen Intel Core Ultra 5 Processor 225H | Intel Graphics | 16GB RAM | 1TB Gen 4 SSD | Windows 11 | Matte Gray | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,148900,,
198,474828301,"Asus VivoBook 14 X1407CA - Intel Core Ultra 5 Processor 225H | 16 GB | 512 SSD | 14"" WUXGA | Win11 | Backlit Keyboard | Cool Silver | Quite Blue | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,126900,,
199,510746389,"Lenovo LOQ 15IRX10 2025 (13th Gen Intel Core i7 13650HX Processor | 24GB RAM | 1TB Gen 4 SSD Storage | 15.6"" (FHD, 1920 x 1080) 100% sRGB 144Hz IPS Display | RTX 5050 8GB Graphics Card | Wi-Fi 6 & BT 5.2 | White Backlit Keyboard | 1 Year Warranty)",Lenovo,175499,,
200,156182438,"Lenovo IdeaPad Slim 5 | Core Ultra 7 155H | 32GB RAM | 1TB SSD | 14"" WUXGA OLED | Backlit Keyboard | 1 Year Warranty - Nagmani International",Lenovo,181900,,
201,129972143,"MSI Thin 15 B12UC Gaming Laptop (12th Gen Core i5 | 8GB RAM  | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 3050 4GB | Wi-Fi 6 | 1.86KG)",,105000,,
202,512719706,"Acer NITRO V 15, 15.6""/ NVIDIA GeForce RTX 4050- 8 GB GDDR7(16GB DDR5, 512GB)IPS FHD,  165Hz, Win 11 Home,AMD Ryzen 7-7445HS octa-core processor,",No Brand,118000,,
203,505859429,"Acer Nitro V 16 | AMD Ryzen™ 5 240 | 16GB RAM | 512GB SSD | NVIDIA RTX 5050 8GB Graphics | Windows 11 | Obsidian Black | Backlit Keyboard | 16"" 180Hz FHD (1920x1200) Display | ANV16-42-R309",Acer,132660,,
204,493105148,"Lenovo Legion Pro 5 Gaming Laptop 2025 - Ryzen 7 8745HX | RTX 5060 | 24GB RAM | 1TB SSD | 16"" WQXGA OLED | Windows 11 | Eclipse Black | 2 Year warranty - Nagmani International Pvt.Ltd",Lenovo,272900,,
205,510628961,"HP Victus  15-FA2013 Gaming Laptop | Core i5-13420H | RTX 3050 6GB | 8GB RAM | 512GB SSD | 15.6"" FHD 144Hz",,105930,,
206,272834249,"Lenovo ThinkBook 14 G7- Ryzen 7 7735HS, 14'' WUXGA (1920x1200), 16GB, 512GB SSD, Win 11 Home, Backlit KB, 1 Year Warranty - NAGMANI INTERNATIONAL",Lenovo,156900,,
207,474845150,"ASUS Vivobook S14 - M3407HA | 14.0-inch, WUXGA | Ryzen 7 260| 16GB RAM | 1TB Gen 4 SSD | Windows 11 | Matte Gray | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,146900,,
208,479754691,"Lenovo Thinkpad Yoga L13  (2-in-1) Gen 5 - Core Ultra 5 135U, 13.3"" WUXGA Multi-Touch 360° display - 100% sRGB, 16GB, 512GB Gen4 NVMe SSD, Stylus, Fingerprint, Windows 11 Professional, Backlit KB,  3 Years Warranty - Nagmani International Pvt.Ltd",Lenovo,232900,,
209,511139479,Lenovo ThinkBook 14 G8 Core 7 240H 15th Gen | 16GB RAM | 512GB SSD | 14″WUXGA (1920×1200) |Win 11 Pro | 1 Years Warranty,No Brand,157990,,
210,500817371,"Acer Nitro V 16 AI | AMD Ryzen 7 260 |  16GB DDR5 | 512GB SSD | RTX 5050 8GB GRAPICS | 16"" WUXGA, IPS PANEL,180Hz",No Brand,168300,,
211,348884769,"Lenovo Thinkpad E14 Gen 6 Ultra 7 155U | 16GB DDR5 RAM | 512 GB SSD | 14"" WUXGA (1920x1200) WUXGA IPS | Backlit Keyboard | Win 11 Pro | 3 Years Warranty",No Brand,166310,,
212,460763890,Dual Screen pos i5 5 Generation 8GB Ram 256 GB  SSD,No Brand,70000,,
213,511446132,HP Victus 15 AMD Ryzen 7 7445HS Processor | 16GB RAM | 512 GB SSD | 15.6″ FHD IPS Display | Backlit Keyboard | RTX 4050 6GB Graphics | 1 Years Warranty,No Brand,130990,,
214,505754504,Acer Nitro V15 Intel i5 13420H / 16GB / 512B SSD / RTX 5050 8GB / 15.6 inch FHD 165Hz IPS Panel Gaming laptop,No Brand,150876,,
215,402525551,"ASUS Vivobook S14 - S3407CA | 14.0-inch, WUXGA | 15th Gen Intel Core Ultra 7 Processor 255H | Intel Graphics | 16GB RAM | 1TB Gen 4 SSD | Windows 11 | Matte Gray | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,169900,,
216,511137487,Lenovo ThinkPad T14 Gen 6 Core Ultra 5 235U |16GB RAM | 512GB SSD |14″ WUXGA Touch Screen | Backlit Keyboard |FP Reader| Win 11 Pro | 1 Year Warranty,No Brand,199990,,
217,502840118,"Lenovo - Legion 5 15AHP10 OLED - AMD Ryzen 7 260 Processor - 16GB RAM - 512GB SSD - RTX 5060 8GB Graphics - 15.1"" WQXGA (2560 x 1600) 165Hz OLED Display - 1 Year Warranty - Windows 11 - AI Powered Gaming PC",Lenovo,220000,,
218,511145408,Lenovo ThinkPad X1 Carbon Gen 12 Core Ultra 7-155U| 32 GB RAM | 512GB SSD | 14″ WUXGA (1920×1200) TouchScreen IPS| Backlit Keyboard | FP Reader | Win11 Pro | 1 Years Warranty,No Brand,314990,,
219,180023592,ThinkPad X13 Gen 3 13” Intel,No Brand,229613,,
220,488846372,"MSI VenturePro 15 A2RWFG Laptop (15th Gen Intel Core 7-240H | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 5060 8GB | USB-C)",,200000,,
221,404922,Inspiron 15 7567 i7 7th Gen 16GB/256SSD + 1TB HDD+4GB Nvidia 15.6 Gaming Laptop,Generic,120000,,
222,480477935,"HP Victus Ryzen 7 7445HS | 16GB DDR5 RAM | 512GB  SSD | 15.6"" FHD IPS 144Hz | RTX 4050 6GB Graphics | Windows 11",No Brand,124999,,
223,458493522,ASUS ROG Strix Scar G18 G835LR | Intel Core Ultra 9 275HX | 16GB RAM | 1TB NVMe SSD | 18.0'' WQXGA 240Hz Display | NVIDIA RTX 5070 Ti | Windows 11| ROG Backpack | Headset | Mouse | Off Black | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani Inte,ASUS,501900,,
224,479759688,"Lenovo Legion Pro 7i Gaming Laptop 2025 -	Intel Core Ultra 9 275HX | RTX 5070Ti - 12GB | Windows 11 | 32GB RAM | 1TB SSD | 16"" WQXGA  OLED 240Hz display | Eclipse Black | 2 Year warranty - Nagmani International",Lenovo,470900,,
225,505859529,"Acer Nitro V 16 | AMD Ryzen™ 7 260 | 16GB RAM | 512GB SSD | NVIDIA RTX 5050 8GB Graphics | Windows 11 | Obsidian Black | ANV16-42-R96P | 180Hz FHD Display | 16"" Gaming Laptop",Acer,169884,,
226,509140640,"Asus TUF F16 Intel Core 5 210H / 8GB RAM / 512GB SSD / RTX 3050 6GB / 16"" WUXGA Display / RGB keyboard laptop",No Brand,135000,,
227,474836494,ASUS TUF Gaming F16 FX607VB | 15th Gen Intel Core 5 210H | RTX 3050 4GB | 8 GB RAM | 512 GB SSD | 16.0 WUXGA | Windows 11 Home | RGB Keyboard | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,154900,,
228,511601660,"Dell 15 Laptop Processor 13th Gen Intel® Core™ i5-1334U, 10 cores Operating System Windows 11 Home Graphics Card Intel® UHD Graphics Memory 8 GB DDR5 Storage 512 GB PCIe NVMe SSD Display 15.6"" Non-Touch FHD Carbon Black",Dell,77499,,
229,168120299,"MSI Cyborg 15 A13VF Gaming Laptop (13th Gen Intel Core i7 | 16GB RAM | 1TB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 4060 8GB)",,181500,,
230,479760376,"Lenovo LOQ 15 - AX9E Gaming Laptop 2025 - (Intel Core i5 12450HX | RTX 3050 - 6GB | Windows 11 | 16GB RAM | 512 SSD | 15.6"" FHD (1920x1080) 144Hz display | White Backlit Keyboard | 2 Year warranty) - Nagmani International Pvt,Ltd",Lenovo,143900,,
231,488692247,"MSI Cyborg 15 A2RVE Laptop (15th Gen Intel Core 7-240H | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 4050 5GB | USB-C)",,174000,,
232,510029368,Acer Nitro Lite 16 2025 Intel Core i7-13620H Processor | 16GB RAM DDR5 | 512GB SSD | RTX 4050 6GB | 16″ WUXGA IPS Display,Acer,155000,,
233,476503415,HP Victus 15,No Brand,135000,,
234,168966232,ASUS TUF GAMING A15 FA506NCR - AMD Ryzen7-7435HS |8GB DDR5 | 512G PCIE G4 SSD | RTX 3050 - 4GB | 15.6 FHD | Windows 11| Graphite Black | RGB Backlit | Two Year Warranty - NAGMANI INTERNATIONAL,ASUS,144900,,
235,511670818,Lenovo Legion 5 15IRX10 | Intel Core i7-14700HX | RTX 5060 8GB | 16GB RAM | 1TB SSD Gaming Laptop,Lenovo,233888,,
236,511649906,"Lenovo Legion 5 15AHP10 | AMD Ryzen 7 2600 | 16GB RAM | 512GB SSD | NVIDIA RTX 5060 8GB | 15.6"" WQXGA OLED Gaming Laptop",Lenovo,207900,,
237,511141438,Lenovo ThinkPad P16s Gen 3 Core Ultra 7-155H |96GB RAM | 2TB SSD |16″ (3840×2400) OLED | RTX 500 ADA 4GB |Backlit Keyboard | FP Reader| Win 11 Pro | 1 Years Warranty,No Brand,399990,,
238,500109404,ASUS Gaming V16 - V3607VU - Intel core Ultra 5 - 210H RTX 4050 6GB | 8GB RAM | 512GB SSD | 16.0-inch WUXGA | Matte Black | Genuine Windows 11 | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,142900,,
239,511964632,Lenovo LOQ Ryzen 5 7235HS | 16 GB RAM | 512 GB SSD | 15.6″ FHD (1920 x 1080) IPS | RTX 4050 6 GB |Backlit Keyboard | Win 11 | 1 Years Warranty,No Brand,126990,,
240,488675684,"MSI Crosshair 16 HX AI D2XWFKG Laptop (15th Gen Intel Core Ultra 9-275HX | 16GB RAM | 1TB Gen4 SSD | 16"" 2K QHD+ 240Hz | NVIDIA RTX 5060 8GB | RGB Keyboard | Thunderbolt Port)",,270000,,
241,389120920,Level 51 Xavia 16 | Intel Core Ultra 9 275HX | 16GB RAM | 500GB SSD | NVIDIA RTX 5070-Ti 12GB | 16 inch WQXGA Screen | 240Hz Refresh Rate | 105.6% sRGB | 2 Years Int'l Warranty,No Brand,335000,,
242,389121898,Level 51 Rosharn 16 | Intel Core Ultra 9 275HX | 16GB RAM | 500GB SSD | NVIDIA RTX 5090 24GB | 16 inch WQXGA Mini-LED Screen | 300Hz Refresh Rate | 105.6% sRGB | 2 Years Int'l Warranty,No Brand,550000,,
243,459403406,HP Victus 15 fa2703TX Laptop | Intel Core i5 - 13420H Processor | 8GB DDR4 RAM | 512GB PCIe NVMe SSD | NVIDIA RTX 3050 6GB Graphics |15.6″ FHD IPS 144Hz Display),No Brand,113850,,
244,500251012,MSI Creator Z16 | i7-11800H | RTX 3060 | 16GB RAM | 512GB SSD | 16″ QHD 120Hz Touchscreen Display,No Brand,195000,,
245,168974197,ASUS TUF GAMING A15 FA506NFR - 15.6 FHD - AMD R7-7435HS | 8GB DDR5 |512GB PCIE G4 SSD | RTX 2050 - 4GB | Windows 11 | RGB Backlit | Graphite Black | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,133900,,
246,512636581,"Acer NITRO LITE 16 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) NL16-71G Gaming Laptop (16 Inch, White, 1.95 Kg)",No Brand,155000,,
247,459038705,ASUS ROG Strix G18 G815JMR | Intel Core i9 14900HX | 32GB RAM | 2TB NVMe SSD | 18.0'' WQXGA 240Hz Display | NVIDIA RTX 5060 | Windows 11| ROG Backpack | Mouse | Volt Green | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,392900,,
248,389121885,Level 51 Rosharn 16 | Intel Core Ultra 9 275HX | 16GB RAM | 500GB SSD | NVIDIA RTX 5080 16GB | 16 inch WQXGA Mini-LED Screen | 300Hz Refresh Rate | 105.6% sRGB | 2 Years Int'l Warranty,No Brand,460000,,
249,293576200,"Lenovo LOQ AX9E Gaming Laptop 2025 - (Intel Core i5 12450HX | RTX 4050 | Windows 11 | 16GB RAM | 512 SSD | 15.6"" FHD (1920x1080)144Hz display | 2 Year warranty) - NAGMANI INTERNATIONAL",Lenovo,156900,,
250,488828008,"MSI Cyborg 15 AI B2HWEKG Laptop (AMD Ryzen 7 260 | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 5050 8GB | USB-C)",,189000,,
251,131289454,"CHUWI MiniBook X N100 Operating System Windows 11 Home Finish Space Gray  Display 10.51 inch, 1920 x 1200, 16:10 IPS",No Brand,59999,,
252,385016386,Level 51 Rosharn 16 | Intel Core Ultra 9 275HX | 16GB RAM | 500GB SSD | NVIDIA RTX 5070-Ti 12GB | 16 inch WQXGA Mini-LED Screen | 300Hz Refresh Rate | 105.6% sRGB | 2 Years Int'l Warranty,No Brand,370000,,
253,415591483,"Lenovo ThinkPad T14 Gen 5, Intel CoreUltra 7 155U | 16 GB DDR5 | 512 GB SSD | 14"" WUXGA (1920x1200) | Backlit Keyboard | Win 11 | 3 Year Warranty",No Brand,218191,,
254,118778296,Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 (8/1TB SSD) backlit keyboard IPS Speed 3-4GHz,No Brand,119950,,
255,184913290,Asus  Vivobook Display,No Brand,24000,,
256,446929663,"MacBook Air (13-Inch, M2 Chip)",Apple,129000,,
257,512551540,"Acer NITRO V 16 ANV16-42-R309 GAMING AMD Ryzen™ 5 240 512GB SSD 16GB 16"" (1920x1200) 180Hz WIN11 NVIDIA® RTX 5050 8192MB Backlit Keyboard Laptop",No Brand,134000,,
258,512715740,"ASUS ROG Zephyrus G14,AMD Ryzen 9 270, (RTX 5060-8GB Gaming Laptop/90W TGP/16GB/1TB/3K OLED/14/120Hz//Windows 11/M365 Basic (1Year)*/Office Home 2024",No Brand,285000,,
259,299588331,"Lenovo V15 G4 - 13th Gen, Intel i3 1315U, 15.6"" FHD, 8GB DDR4 RAM, 512GB NVMe SSD, Iron Grey Color, 1 Year Warranty - NAGMANI INTERNATIONAL",Lenovo,78900,,
260,488717564,"MSI Cyborg 15 B2RWEKG Laptop (15th Gen Intel Core 7-240H | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 5050 8GB | USB-C)",,188900,,
261,482594743,"MacBook Air M3 2024 (13.6"" (2560 x 1664) Liquid Retina Display | 16GB Memory | 256GB Storage | 8-core GPU, 8-core CPU | 16-core Neural Engine | Wi-Fi 6E & BT 5.3",No Brand,148900,,
262,512690009,"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60939WS Thin and Light Laptop (14 Inch, Misty Grey, 1.42 Kg, With MS Office)",No Brand,88999,,
263,493196041,"HP ProBook 460 G11 Intel Core Ultra 7 155H | 16GB RAM | 1TB SSD | RTX 2050 4GB | 16"" WUXGA Display | Windows 11 Pro Lifetime | Silver Laptop Nepal",No Brand,128499,,
264,293647052,"Lenovo LOQ Gaming Laptop 2025 - (Intel Core i5 12450HX | RTX 4050 - 6GB |Windows 11 | 16GB RAM | 512 SSD | 15.6"" FHD (1920x1080)144Hz display | 2 Year warranty) - NAGMANI INTERNATIONAL",Lenovo,164900,,
265,500689785,Dell Pro 14 Inch PC14250 | Core 5 120U | 8GB | 512GB SSD | FHD+ | Non-Backlit | UBT,No Brand,96900,,
